district,Sex,Age,month of estimation,population
EC - Nelson Mandela Bay Metropolitan Municipality,Male,18-34,2019-07-31,136630.38226368904
EC - Nelson Mandela Bay Metropolitan Municipality,Male,35-49,2019-07-31,131022.56188194046
EC - Nelson Mandela Bay Metropolitan Municipality,Male,5-9,2019-07-31,51733.616356990606
EC - Nelson Mandela Bay Metropolitan Municipality,Male,50-59,2019-07-31,57473.102704280354
EC - Nelson Mandela Bay Metropolitan Municipality,Male,60+,2019-07-31,61835.554492477604
EC - Sarah Baartman District Municipality (DC10),Female,0-4,2019-07-31,18811.734395862608
EC - Sarah Baartman District Municipality (DC10),Female,10-14,2019-07-31,22878.35427074563
EC - Sarah Baartman District Municipality (DC10),Female,15-19,2019-07-31,17784.125251838876
EC - Sarah Baartman District Municipality (DC10),Female,18-34,2019-07-31,54604.926820815526
EC - Sarah Baartman District Municipality (DC10),Female,35-49,2019-07-31,48070.31398587389
EC - Sarah Baartman District Municipality (DC10),Female,5-9,2019-07-31,22679.749655613607
EC - Sarah Baartman District Municipality (DC10),Female,50-59,2019-07-31,24790.365910973567
EC - Sarah Baartman District Municipality (DC10),Female,60+,2019-07-31,31717.090514062293
EC - Sarah Baartman District Municipality (DC10),Male,0-4,2019-07-31,19303.531965041475
EC - Sarah Baartman District Municipality (DC10),Male,10-14,2019-07-31,23540.63958144599
EC - Sarah Baartman District Municipality (DC10),Male,15-19,2019-07-31,18307.487386678302
EC - Sarah Baartman District Municipality (DC10),Male,18-34,2019-07-31,61797.0135701644
EC - Sarah Baartman District Municipality (DC10),Male,35-49,2019-07-31,49242.35094917465
EC - Sarah Baartman District Municipality (DC10),Male,5-9,2019-07-31,23546.523180135693
EC - Sarah Baartman District Municipality (DC10),Male,50-59,2019-07-31,19650.579828913447
EC - Sarah Baartman District Municipality (DC10),Male,60+,2019-07-31,21644.551947942433
EC- OR Tambo (DC15),Female,0-4,2019-07-31,98723.75659336132
EC- OR Tambo (DC15),Female,10-14,2019-07-31,91901.6523708374
EC- OR Tambo (DC15),Female,15-19,2019-07-31,74561.84226026345
EC- OR Tambo (DC15),Female,18-34,2019-07-31,194000.08502520726
EC- OR Tambo (DC15),Female,35-49,2019-07-31,109249.96951682432
EC- OR Tambo (DC15),Female,5-9,2019-07-31,96016.67331841556
EC- OR Tambo (DC15),Female,50-59,2019-07-31,52054.29560750426
EC- OR Tambo (DC15),Female,60+,2019-07-31,82151.00723624742
EC- OR Tambo (DC15),Male,0-4,2019-07-31,101740.3036289824
EC- OR Tambo (DC15),Male,10-14,2019-07-31,94592.71696827147
EC- OR Tambo (DC15),Male,15-19,2019-07-31,76135.79537154242
EC- OR Tambo (DC15),Male,18-34,2019-07-31,191070.8581815431
EC- OR Tambo (DC15),Male,35-49,2019-07-31,82476.17493253386
EC- OR Tambo (DC15),Male,5-9,2019-07-31,99701.88094168899
EC- OR Tambo (DC15),Male,50-59,2019-07-31,24933.60956201316
EC- OR Tambo (DC15),Male,60+,2019-07-31,37230.60090761323
FS - Fezile Dabi District Municipality (DC20),Female,0-4,2019-07-31,21790.674066932643
FS - Fezile Dabi District Municipality (DC20),Female,10-14,2019-07-31,23888.11631015809
FS - Fezile Dabi District Municipality (DC20),Female,15-19,2019-07-31,20030.3047361062
FS - Fezile Dabi District Municipality (DC20),Female,18-34,2019-07-31,62957.93101054703
FS - Fezile Dabi District Municipality (DC20),Female,35-49,2019-07-31,49593.263783684895
FS - Fezile Dabi District Municipality (DC20),Female,5-9,2019-07-31,24003.246670187335
FS - Fezile Dabi District Municipality (DC20),Female,50-59,2019-07-31,23274.578195926188
FS - Fezile Dabi District Municipality (DC20),Female,60+,2019-07-31,33001.90566882062
FS - Fezile Dabi District Municipality (DC20),Male,0-4,2019-07-31,22306.938263702476
FS - Fezile Dabi District Municipality (DC20),Male,10-14,2019-07-31,24070.65559065443
FS - Fezile Dabi District Municipality (DC20),Male,15-19,2019-07-31,20179.532041455765
FS - Fezile Dabi District Municipality (DC20),Male,18-34,2019-07-31,65404.014302279844
FS - Fezile Dabi District Municipality (DC20),Male,35-49,2019-07-31,50391.10665972249
FS - Fezile Dabi District Municipality (DC20),Male,5-9,2019-07-31,24495.211752527397
FS - Fezile Dabi District Municipality (DC20),Male,50-59,2019-07-31,21053.36926588434
FS - Fezile Dabi District Municipality (DC20),Male,60+,2019-07-31,22572.13594706265
FS - Lejweleputswa District Municipality (DC18),Female,0-4,2019-07-31,27309.23330543124
FS - Lejweleputswa District Municipality (DC18),Female,10-14,2019-07-31,30746.710346051463
FS - Lejweleputswa District Municipality (DC18),Female,15-19,2019-07-31,26233.153211674075
FS - Lejweleputswa District Municipality (DC18),Female,18-34,2019-07-31,79801.70418717942
FS - Lejweleputswa District Municipality (DC18),Female,35-49,2019-07-31,64432.494858825296
FS - Lejweleputswa District Municipality (DC18),Female,5-9,2019-07-31,30264.207217821666
FS - Lejweleputswa District Municipality (DC18),Female,50-59,2019-07-31,33569.01036870357
FS - Lejweleputswa District Municipality (DC18),Female,60+,2019-07-31,35322.1685593334
FS - Lejweleputswa District Municipality (DC18),Male,0-4,2019-07-31,27684.991012410388
FS - Lejweleputswa District Municipality (DC18),Male,10-14,2019-07-31,30431.917931928525
FS - Lejweleputswa District Municipality (DC18),Male,15-19,2019-07-31,26443.064493350725
FS - Lejweleputswa District Municipality (DC18),Male,18-34,2019-07-31,85679.27844303145
FS - Lejweleputswa District Municipality (DC18),Male,35-49,2019-07-31,62668.45746161138
FS - Lejweleputswa District Municipality (DC18),Male,5-9,2019-07-31,30408.40901440459
FS - Lejweleputswa District Municipality (DC18),Male,50-59,2019-07-31,30862.11328637354
FS - Lejweleputswa District Municipality (DC18),Male,60+,2019-07-31,29785.451728305794
FS - Mangaung Metropolitan Municipality (MAN),Female,0-4,2019-07-31,37749.3415069413
FS - Mangaung Metropolitan Municipality (MAN),Female,10-14,2019-07-31,40137.07569486844
FS - Mangaung Metropolitan Municipality (MAN),Female,15-19,2019-07-31,34627.13001077161
FS - Mangaung Metropolitan Municipality (MAN),Female,18-34,2019-07-31,113110.91338818372
FS - Mangaung Metropolitan Municipality (MAN),Female,35-49,2019-07-31,88023.87625967585
FS - Mangaung Metropolitan Municipality (MAN),Female,5-9,2019-07-31,40239.40034906949
FS - Mangaung Metropolitan Municipality (MAN),Female,50-59,2019-07-31,41708.54120594778
FS - Mangaung Metropolitan Municipality (MAN),Female,60+,2019-07-31,51352.219247657056
FS - Mangaung Metropolitan Municipality (MAN),Male,0-4,2019-07-31,39251.668866000415
FS - Mangaung Metropolitan Municipality (MAN),Male,10-14,2019-07-31,41724.06370766058
FS - Mangaung Metropolitan Municipality (MAN),Male,15-19,2019-07-31,35620.25722572356
FS - Mangaung Metropolitan Municipality (MAN),Male,18-34,2019-07-31,114570.65749052481
FS - Mangaung Metropolitan Municipality (MAN),Male,35-49,2019-07-31,79268.25159771832
FS - Mangaung Metropolitan Municipality (MAN),Male,5-9,2019-07-31,42091.912929231745
FS - Mangaung Metropolitan Municipality (MAN),Male,50-59,2019-07-31,31488.684467009636
FS - Mangaung Metropolitan Municipality (MAN),Male,60+,2019-07-31,32121.74594120766
FS - Thabo Mofutsanyane District Municipality (DC19),Female,0-4,2019-07-31,38056.68659065259
FS - Thabo Mofutsanyane District Municipality (DC19),Female,10-14,2019-07-31,41203.60542493392
FS - Thabo Mofutsanyane District Municipality (DC19),Female,15-19,2019-07-31,34625.83880367106
FS - Thabo Mofutsanyane District Municipality (DC19),Female,18-34,2019-07-31,103877.80569207782
FS - Thabo Mofutsanyane District Municipality (DC19),Female,35-49,2019-07-31,73411.5982714815
FS - Thabo Mofutsanyane District Municipality (DC19),Female,5-9,2019-07-31,40118.541635224174
FS - Thabo Mofutsanyane District Municipality (DC19),Female,50-59,2019-07-31,32753.53679078984
FS - Thabo Mofutsanyane District Municipality (DC19),Female,60+,2019-07-31,43074.154900110916
FS - Thabo Mofutsanyane District Municipality (DC19),Male,0-4,2019-07-31,38934.431387286895
FS - Thabo Mofutsanyane District Municipality (DC19),Male,10-14,2019-07-31,41606.390768225545
FS - Thabo Mofutsanyane District Municipality (DC19),Male,15-19,2019-07-31,34198.686488639614
FS - Thabo Mofutsanyane District Municipality (DC19),Male,18-34,2019-07-31,96068.47258884594
FS - Thabo Mofutsanyane District Municipality (DC19),Male,35-49,2019-07-31,60250.99136026598
