district,Sex,Age,month of estimation,population
FS - Lejweleputswa District Municipality (DC18),Female,35-49,2020-10-31,65491.500570000004
FS - Lejweleputswa District Municipality (DC18),Female,5-9,2020-10-31,28908.92783
FS - Lejweleputswa District Municipality (DC18),Female,50-59,2020-10-31,33987.58439
FS - Lejweleputswa District Municipality (DC18),Female,60+,2020-10-31,36447.974154999996
FS - Lejweleputswa District Municipality (DC18),Male,0-4,2020-10-31,27958.4101
FS - Lejweleputswa District Municipality (DC18),Male,10-14,2020-10-31,31065.73579
FS - Lejweleputswa District Municipality (DC18),Male,15-19,2020-10-31,26461.64494
FS - Lejweleputswa District Municipality (DC18),Male,18-34,2020-10-31,84238.01483
FS - Lejweleputswa District Municipality (DC18),Male,35-49,2020-10-31,64408.36601
FS - Lejweleputswa District Municipality (DC18),Male,5-9,2020-10-31,29083.37201
FS - Lejweleputswa District Municipality (DC18),Male,50-59,2020-10-31,30640.07432
FS - Lejweleputswa District Municipality (DC18),Male,60+,2020-10-31,30799.299165999997
FS - Mangaung Metropolitan Municipality (MAN),Female,0-4,2020-10-31,37683.04759
FS - Mangaung Metropolitan Municipality (MAN),Female,10-14,2020-10-31,40894.95969
FS - Mangaung Metropolitan Municipality (MAN),Female,15-19,2020-10-31,35818.18531
FS - Mangaung Metropolitan Municipality (MAN),Female,18-34,2020-10-31,111917.97585
FS - Mangaung Metropolitan Municipality (MAN),Female,35-49,2020-10-31,90464.14464
FS - Mangaung Metropolitan Municipality (MAN),Female,5-9,2020-10-31,39449.99439
FS - Mangaung Metropolitan Municipality (MAN),Female,50-59,2020-10-31,42608.205180000004
FS - Mangaung Metropolitan Municipality (MAN),Female,60+,2020-10-31,52864.314194
FS - Mangaung Metropolitan Municipality (MAN),Male,0-4,2020-10-31,39113.25695
FS - Mangaung Metropolitan Municipality (MAN),Male,10-14,2020-10-31,42637.27256
FS - Mangaung Metropolitan Municipality (MAN),Male,15-19,2020-10-31,36987.52283
FS - Mangaung Metropolitan Municipality (MAN),Male,18-34,2020-10-31,113435.85995000001
FS - Mangaung Metropolitan Municipality (MAN),Male,35-49,2020-10-31,82210.83851
FS - Mangaung Metropolitan Municipality (MAN),Male,5-9,2020-10-31,41258.16718
FS - Mangaung Metropolitan Municipality (MAN),Male,50-59,2020-10-31,32437.201849999998
FS - Mangaung Metropolitan Municipality (MAN),Male,60+,2020-10-31,32863.925602
FS - Thabo Mofutsanyane District Municipality (DC19),Female,0-4,2020-10-31,38033.89571
FS - Thabo Mofutsanyane District Municipality (DC19),Female,10-14,2020-10-31,41477.80356
FS - Thabo Mofutsanyane District Municipality (DC19),Female,15-19,2020-10-31,35804.02774
FS - Thabo Mofutsanyane District Municipality (DC19),Female,18-34,2020-10-31,101496.65431
FS - Thabo Mofutsanyane District Municipality (DC19),Female,35-49,2020-10-31,75862.68234
FS - Thabo Mofutsanyane District Municipality (DC19),Female,5-9,2020-10-31,39048.6603
FS - Thabo Mofutsanyane District Municipality (DC19),Female,50-59,2020-10-31,33130.96705
FS - Thabo Mofutsanyane District Municipality (DC19),Female,60+,2020-10-31,43536.653945
FS - Thabo Mofutsanyane District Municipality (DC19),Male,0-4,2020-10-31,38838.80774
FS - Thabo Mofutsanyane District Municipality (DC19),Male,10-14,2020-10-31,41897.05821
FS - Thabo Mofutsanyane District Municipality (DC19),Male,15-19,2020-10-31,35737.27434
FS - Thabo Mofutsanyane District Municipality (DC19),Male,18-34,2020-10-31,93540.29157
FS - Thabo Mofutsanyane District Municipality (DC19),Male,35-49,2020-10-31,63065.34297
FS - Thabo Mofutsanyane District Municipality (DC19),Male,5-9,2020-10-31,39875.09264
FS - Thabo Mofutsanyane District Municipality (DC19),Male,50-59,2020-10-31,21140.153492
FS - Thabo Mofutsanyane District Municipality (DC19),Male,60+,2020-10-31,21987.155414
FS - Xhariep District Municipality (DC16),Female,0-4,2020-10-31,7055.967354
FS - Xhariep District Municipality (DC16),Female,10-14,2020-10-31,6601.347101
FS - Xhariep District Municipality (DC16),Female,15-19,2020-10-31,5839.588633
FS - Xhariep District Municipality (DC16),Female,18-34,2020-10-31,14532.036044999999
FS - Xhariep District Municipality (DC16),Female,35-49,2020-10-31,11193.028597999999
FS - Xhariep District Municipality (DC16),Female,5-9,2020-10-31,6896.133368
FS - Xhariep District Municipality (DC16),Female,50-59,2020-10-31,5207.286274
FS - Xhariep District Municipality (DC16),Female,60+,2020-10-31,7406.3655175
FS - Xhariep District Municipality (DC16),Male,0-4,2020-10-31,7115.819154
FS - Xhariep District Municipality (DC16),Male,10-14,2020-10-31,6573.887912
FS - Xhariep District Municipality (DC16),Male,15-19,2020-10-31,5805.13932
FS - Xhariep District Municipality (DC16),Male,18-34,2020-10-31,15279.093821
FS - Xhariep District Municipality (DC16),Male,35-49,2020-10-31,11345.013687
FS - Xhariep District Municipality (DC16),Male,5-9,2020-10-31,6909.602721
FS - Xhariep District Municipality (DC16),Male,50-59,2020-10-31,4609.208122
FS - Xhariep District Municipality (DC16),Male,60+,2020-10-31,4688.380649
GT - City of Johannesburg Metropolitan Municipality,Female,0-4,2020-10-31,239480.8414
GT - City of Johannesburg Metropolitan Municipality,Female,10-14,2020-10-31,203090.4243
GT - City of Johannesburg Metropolitan Municipality,Female,15-19,2020-10-31,196137.2125
GT - City of Johannesburg Metropolitan Municipality,Female,18-34,2020-10-31,922275.1044000001
GT - City of Johannesburg Metropolitan Municipality,Female,35-49,2020-10-31,694715.4182
GT - City of Johannesburg Metropolitan Municipality,Female,5-9,2020-10-31,225652.2346
GT - City of Johannesburg Metropolitan Municipality,Female,50-59,2020-10-31,246855.5759
GT - City of Johannesburg Metropolitan Municipality,Female,60+,2020-10-31,265309.42138
GT - City of Johannesburg Metropolitan Municipality,Male,0-4,2020-10-31,244063.0866
GT - City of Johannesburg Metropolitan Municipality,Male,10-14,2020-10-31,202615.0048
GT - City of Johannesburg Metropolitan Municipality,Male,15-19,2020-10-31,190945.6329
GT - City of Johannesburg Metropolitan Municipality,Male,18-34,2020-10-31,883995.0834
GT - City of Johannesburg Metropolitan Municipality,Male,35-49,2020-10-31,716407.6359
GT - City of Johannesburg Metropolitan Municipality,Male,5-9,2020-10-31,229450.421
GT - City of Johannesburg Metropolitan Municipality,Male,50-59,2020-10-31,244053.0791
GT - City of Johannesburg Metropolitan Municipality,Male,60+,2020-10-31,204417.37682
GT - City of Tshwane Metropolitan Municipality,Female,0-4,2020-10-31,155349.9871
GT - City of Tshwane Metropolitan Municipality,Female,10-14,2020-10-31,138601.4663
GT - City of Tshwane Metropolitan Municipality,Female,15-19,2020-10-31,132841.3009
GT - City of Tshwane Metropolitan Municipality,Female,18-34,2020-10-31,583156.0048
GT - City of Tshwane Metropolitan Municipality,Female,35-49,2020-10-31,404248.6778
GT - City of Tshwane Metropolitan Municipality,Female,5-9,2020-10-31,145836.1331
GT - City of Tshwane Metropolitan Municipality,Female,50-59,2020-10-31,162281.25963
GT - City of Tshwane Metropolitan Municipality,Female,60+,2020-10-31,180586.24519
GT - City of Tshwane Metropolitan Municipality,Male,0-4,2020-10-31,158907.9466
GT - City of Tshwane Metropolitan Municipality,Male,10-14,2020-10-31,140769.0129
GT - City of Tshwane Metropolitan Municipality,Male,15-19,2020-10-31,131283.8439
GT - City of Tshwane Metropolitan Municipality,Male,18-34,2020-10-31,568658.2760000001
GT - City of Tshwane Metropolitan Municipality,Male,35-49,2020-10-31,416024.91969999997
GT - City of Tshwane Metropolitan Municipality,Male,5-9,2020-10-31,149463.2931
GT - City of Tshwane Metropolitan Municipality,Male,50-59,2020-10-31,152890.60949
GT - City of Tshwane Metropolitan Municipality,Male,60+,2020-10-31,140680.879434
GT - Ekurhuleni Metropolitan Municipality,Female,0-4,2020-10-31,177034.676
GT - Ekurhuleni Metropolitan Municipality,Female,10-14,2020-10-31,148901.9817
GT - Ekurhuleni Metropolitan Municipality,Female,15-19,2020-10-31,137143.4587
GT - Ekurhuleni Metropolitan Municipality,Female,18-34,2020-10-31,589113.0733
GT - Ekurhuleni Metropolitan Municipality,Female,35-49,2020-10-31,403896.8543
GT - Ekurhuleni Metropolitan Municipality,Female,5-9,2020-10-31,164873.66
GT - Ekurhuleni Metropolitan Municipality,Female,50-59,2020-10-31,165294.75001000002
GT - Ekurhuleni Metropolitan Municipality,Female,60+,2020-10-31,174121.07975
GT - Ekurhuleni Metropolitan Municipality,Male,0-4,2020-10-31,180083.8266
GT - Ekurhuleni Metropolitan Municipality,Male,10-14,2020-10-31,149187.1878
GT - Ekurhuleni Metropolitan Municipality,Male,15-19,2020-10-31,136197.9622
GT - Ekurhuleni Metropolitan Municipality,Male,18-34,2020-10-31,619471.8859999999
GT - Ekurhuleni Metropolitan Municipality,Male,35-49,2020-10-31,456556.8383
GT - Ekurhuleni Metropolitan Municipality,Male,5-9,2020-10-31,167577.3672
GT - Ekurhuleni Metropolitan Municipality,Male,50-59,2020-10-31,171811.71561
GT - Ekurhuleni Metropolitan Municipality,Male,60+,2020-10-31,153518.732103
GT - Sedibeng District Municipality (DC42),Female,0-4,2020-10-31,37570.03819
GT - Sedibeng District Municipality (DC42),Female,10-14,2020-10-31,36707.45619
GT - Sedibeng District Municipality (DC42),Female,15-19,2020-10-31,35308.92885
GT - Sedibeng District Municipality (DC42),Female,18-34,2020-10-31,124053.90192999999
GT - Sedibeng District Municipality (DC42),Female,35-49,2020-10-31,84284.51573
GT - Sedibeng District Municipality (DC42),Female,5-9,2020-10-31,37192.59153
GT - Sedibeng District Municipality (DC42),Female,50-59,2020-10-31,45004.75461
GT - Sedibeng District Municipality (DC42),Female,60+,2020-10-31,64541.375856
GT - Sedibeng District Municipality (DC42),Male,0-4,2020-10-31,40393.00844
GT - Sedibeng District Municipality (DC42),Male,10-14,2020-10-31,40148.7098
GT - Sedibeng District Municipality (DC42),Male,15-19,2020-10-31,38466.90706
GT - Sedibeng District Municipality (DC42),Male,18-34,2020-10-31,150908.72991
GT - Sedibeng District Municipality (DC42),Male,35-49,2020-10-31,102655.36718
GT - Sedibeng District Municipality (DC42),Male,5-9,2020-10-31,40825.46641
GT - Sedibeng District Municipality (DC42),Male,50-59,2020-10-31,43134.947530000005
GT - Sedibeng District Municipality (DC42),Male,60+,2020-10-31,51120.060577000004
GT - West Rand DM (DC48),Female,0-4,2020-10-31,40589.41481
GT - West Rand DM (DC48),Female,10-14,2020-10-31,35128.53759
GT - West Rand DM (DC48),Female,15-19,2020-10-31,34184.87722
GT - West Rand DM (DC48),Female,18-34,2020-10-31,135327.87464
GT - West Rand DM (DC48),Female,35-49,2020-10-31,92009.46175
GT - West Rand DM (DC48),Female,5-9,2020-10-31,38678.73234
GT - West Rand DM (DC48),Female,50-59,2020-10-31,43262.39923
GT - West Rand DM (DC48),Female,60+,2020-10-31,40654.493392
GT - West Rand DM (DC48),Male,0-4,2020-10-31,41996.33918
GT - West Rand DM (DC48),Male,10-14,2020-10-31,35257.30706
GT - West Rand DM (DC48),Male,15-19,2020-10-31,33702.01729
GT - West Rand DM (DC48),Male,18-34,2020-10-31,144101.18162
GT - West Rand DM (DC48),Male,35-49,2020-10-31,99358.2979
GT - West Rand DM (DC48),Male,5-9,2020-10-31,39619.74131
GT - West Rand DM (DC48),Male,50-59,2020-10-31,49831.49246
GT - West Rand DM (DC48),Male,60+,2020-10-31,45635.3379439
KZN - Amajuba District Municipality (DC25),Female,0-4,2020-10-31,30875.62727
KZN - Amajuba District Municipality (DC25),Female,10-14,2020-10-31,29856.78671
KZN - Amajuba District Municipality (DC25),Female,15-19,2020-10-31,25517.6486
KZN - Amajuba District Municipality (DC25),Female,18-34,2020-10-31,75308.60326999999
KZN - Amajuba District Municipality (DC25),Female,35-49,2020-10-31,50937.713319999995
KZN - Amajuba District Municipality (DC25),Female,5-9,2020-10-31,30272.14406
KZN - Amajuba District Municipality (DC25),Female,50-59,2020-10-31,21615.060449999997
KZN - Amajuba District Municipality (DC25),Female,60+,2020-10-31,28087.589275
KZN - Amajuba District Municipality (DC25),Male,0-4,2020-10-31,31639.77191
KZN - Amajuba District Municipality (DC25),Male,10-14,2020-10-31,30356.32655
KZN - Amajuba District Municipality (DC25),Male,15-19,2020-10-31,26003.82077
KZN - Amajuba District Municipality (DC25),Male,18-34,2020-10-31,75375.32332
KZN - Amajuba District Municipality (DC25),Male,35-49,2020-10-31,44799.98828
KZN - Amajuba District Municipality (DC25),Male,5-9,2020-10-31,30857.3848
KZN - Amajuba District Municipality (DC25),Male,50-59,2020-10-31,14651.907177000001
KZN - Amajuba District Municipality (DC25),Male,60+,2020-10-31,16960.213122
KZN - Harry Gwala District Municipality (DC43),Female,0-4,2020-10-31,30838.14246
KZN - Harry Gwala District Municipality (DC43),Female,10-14,2020-10-31,31109.70375
KZN - Harry Gwala District Municipality (DC43),Female,15-19,2020-10-31,24807.22936
KZN - Harry Gwala District Municipality (DC43),Female,18-34,2020-10-31,67689.43046999999
KZN - Harry Gwala District Municipality (DC43),Female,35-49,2020-10-31,39294.8255
KZN - Harry Gwala District Municipality (DC43),Female,5-9,2020-10-31,31458.13436
KZN - Harry Gwala District Municipality (DC43),Female,50-59,2020-10-31,18020.116292
KZN - Harry Gwala District Municipality (DC43),Female,60+,2020-10-31,28790.404499
KZN - Harry Gwala District Municipality (DC43),Male,0-4,2020-10-31,31436.41179
KZN - Harry Gwala District Municipality (DC43),Male,10-14,2020-10-31,31014.21877
KZN - Harry Gwala District Municipality (DC43),Male,15-19,2020-10-31,24327.25355
KZN - Harry Gwala District Municipality (DC43),Male,18-34,2020-10-31,60042.698449999996
KZN - Harry Gwala District Municipality (DC43),Male,35-49,2020-10-31,30471.564641
KZN - Harry Gwala District Municipality (DC43),Male,5-9,2020-10-31,31847.78321
KZN - Harry Gwala District Municipality (DC43),Male,50-59,2020-10-31,10008.896297
KZN - Harry Gwala District Municipality (DC43),Male,60+,2020-10-31,13095.702641
KZN - King Cetshwayo District Municipality (DC28),Female,0-4,2020-10-31,54843.39
KZN - King Cetshwayo District Municipality (DC28),Female,10-14,2020-10-31,53082.58274
KZN - King Cetshwayo District Municipality (DC28),Female,15-19,2020-10-31,45061.57623
KZN - King Cetshwayo District Municipality (DC28),Female,18-34,2020-10-31,129730.58843
KZN - King Cetshwayo District Municipality (DC28),Female,35-49,2020-10-31,83539.08315
KZN - King Cetshwayo District Municipality (DC28),Female,5-9,2020-10-31,55759.3187
KZN - King Cetshwayo District Municipality (DC28),Female,50-59,2020-10-31,36623.13291
KZN - King Cetshwayo District Municipality (DC28),Female,60+,2020-10-31,49581.495261
KZN - King Cetshwayo District Municipality (DC28),Male,0-4,2020-10-31,56429.426
KZN - King Cetshwayo District Municipality (DC28),Male,10-14,2020-10-31,53347.72223
KZN - King Cetshwayo District Municipality (DC28),Male,15-19,2020-10-31,44946.06337
KZN - King Cetshwayo District Municipality (DC28),Male,18-34,2020-10-31,118118.86293
KZN - King Cetshwayo District Municipality (DC28),Male,35-49,2020-10-31,67317.39692
KZN - King Cetshwayo District Municipality (DC28),Male,5-9,2020-10-31,56851.96159
KZN - King Cetshwayo District Municipality (DC28),Male,50-59,2020-10-31,23249.94826
KZN - King Cetshwayo District Municipality (DC28),Male,60+,2020-10-31,24559.934387
KZN - Ugu District Municipality (DC21),Female,0-4,2020-10-31,45898.71099
KZN - Ugu District Municipality (DC21),Female,10-14,2020-10-31,42793.89371
KZN - Ugu District Municipality (DC21),Female,15-19,2020-10-31,34692.74814
KZN - Ugu District Municipality (DC21),Female,18-34,2020-10-31,109566.96891
KZN - Ugu District Municipality (DC21),Female,35-49,2020-10-31,71139.08389000001
KZN - Ugu District Municipality (DC21),Female,5-9,2020-10-31,45355.56784
KZN - Ugu District Municipality (DC21),Female,50-59,2020-10-31,30151.39886
KZN - Ugu District Municipality (DC21),Female,60+,2020-10-31,39758.890742999996
KZN - Ugu District Municipality (DC21),Male,0-4,2020-10-31,47291.94757
KZN - Ugu District Municipality (DC21),Male,10-14,2020-10-31,43779.89929
KZN - Ugu District Municipality (DC21),Male,15-19,2020-10-31,35716.97923
KZN - Ugu District Municipality (DC21),Male,18-34,2020-10-31,114185.41222
KZN - Ugu District Municipality (DC21),Male,35-49,2020-10-31,59181.727080000004
KZN - Ugu District Municipality (DC21),Male,5-9,2020-10-31,47185.29528
KZN - Ugu District Municipality (DC21),Male,50-59,2020-10-31,15369.628605000002
KZN - Ugu District Municipality (DC21),Male,60+,2020-10-31,15005.943742
KZN - Zululand District Municipality (DC26),Female,0-4,2020-10-31,56816.16928
KZN - Zululand District Municipality (DC26),Female,10-14,2020-10-31,55334.11993
KZN - Zululand District Municipality (DC26),Female,15-19,2020-10-31,46002.53704
KZN - Zululand District Municipality (DC26),Female,18-34,2020-10-31,108572.34068
KZN - Zululand District Municipality (DC26),Female,35-49,2020-10-31,68764.55475000001
KZN - Zululand District Municipality (DC26),Female,5-9,2020-10-31,55298.44742
KZN - Zululand District Municipality (DC26),Female,50-59,2020-10-31,31221.558770000003
KZN - Zululand District Municipality (DC26),Female,60+,2020-10-31,47587.764901
KZN - Zululand District Municipality (DC26),Male,0-4,2020-10-31,58572.43751
KZN - Zululand District Municipality (DC26),Male,10-14,2020-10-31,57269.11498
KZN - Zululand District Municipality (DC26),Male,15-19,2020-10-31,46596.39924
KZN - Zululand District Municipality (DC26),Male,18-34,2020-10-31,97811.63485
KZN - Zululand District Municipality (DC26),Male,35-49,2020-10-31,50961.91893
KZN - Zululand District Municipality (DC26),Male,5-9,2020-10-31,57119.26053
KZN - Zululand District Municipality (DC26),Male,50-59,2020-10-31,16923.797372
KZN - Zululand District Municipality (DC26),Male,60+,2020-10-31,26208.814224
KZN - eThekwini Metropolitan Municipality,Female,0-4,2020-10-31,159082.8992
KZN - eThekwini Metropolitan Municipality,Female,10-14,2020-10-31,165529.9565
KZN - eThekwini Metropolitan Municipality,Female,15-19,2020-10-31,149518.2128
KZN - eThekwini Metropolitan Municipality,Female,18-34,2020-10-31,521441.6715
KZN - eThekwini Metropolitan Municipality,Female,35-49,2020-10-31,436366.903
KZN - eThekwini Metropolitan Municipality,Female,5-9,2020-10-31,159014.962
KZN - eThekwini Metropolitan Municipality,Female,50-59,2020-10-31,190946.5492
KZN - eThekwini Metropolitan Municipality,Female,60+,2020-10-31,214892.92554
KZN - eThekwini Metropolitan Municipality,Male,0-4,2020-10-31,165290.1849
KZN - eThekwini Metropolitan Municipality,Male,10-14,2020-10-31,174085.2706
KZN - eThekwini Metropolitan Municipality,Male,15-19,2020-10-31,159157.9268
KZN - eThekwini Metropolitan Municipality,Male,18-34,2020-10-31,580129.0699
KZN - eThekwini Metropolitan Municipality,Male,35-49,2020-10-31,433041.34160000004
KZN - eThekwini Metropolitan Municipality,Male,5-9,2020-10-31,166713.656
KZN - eThekwini Metropolitan Municipality,Male,50-59,2020-10-31,159134.82624999998
KZN - eThekwini Metropolitan Municipality,Male,60+,2020-10-31,149337.672189
KZN - iLembe District Municipality (DC29),Female,0-4,2020-10-31,38437.35687
KZN - iLembe District Municipality (DC29),Female,10-14,2020-10-31,36167.84807
KZN - iLembe District Municipality (DC29),Female,15-19,2020-10-31,30271.78791
KZN - iLembe District Municipality (DC29),Female,18-34,2020-10-31,89131.14458
KZN - iLembe District Municipality (DC29),Female,35-49,2020-10-31,62494.05536
KZN - iLembe District Municipality (DC29),Female,5-9,2020-10-31,38219.8098
KZN - iLembe District Municipality (DC29),Female,50-59,2020-10-31,27958.5095
KZN - iLembe District Municipality (DC29),Female,60+,2020-10-31,41186.011502
KZN - iLembe District Municipality (DC29),Male,0-4,2020-10-31,39223.70739
KZN - iLembe District Municipality (DC29),Male,10-14,2020-10-31,36541.65673
KZN - iLembe District Municipality (DC29),Male,15-19,2020-10-31,30485.06064
KZN - iLembe District Municipality (DC29),Male,18-34,2020-10-31,86192.12478
KZN - iLembe District Municipality (DC29),Male,35-49,2020-10-31,53747.372090000004
KZN - iLembe District Municipality (DC29),Male,5-9,2020-10-31,38944.39757
KZN - iLembe District Municipality (DC29),Male,50-59,2020-10-31,18820.172866
KZN - iLembe District Municipality (DC29),Male,60+,2020-10-31,23610.959702
KZN - uMgungundlovu District Municipality (DC22),Female,0-4,2020-10-31,58235.39997
KZN - uMgungundlovu District Municipality (DC22),Female,10-14,2020-10-31,50280.75321
KZN - uMgungundlovu District Municipality (DC22),Female,15-19,2020-10-31,46468.30523
KZN - uMgungundlovu District Municipality (DC22),Female,18-34,2020-10-31,158965.88247
KZN - uMgungundlovu District Municipality (DC22),Female,35-49,2020-10-31,119661.6296
KZN - uMgungundlovu District Municipality (DC22),Female,5-9,2020-10-31,54826.00587
KZN - uMgungundlovu District Municipality (DC22),Female,50-59,2020-10-31,48481.835999999996
KZN - uMgungundlovu District Municipality (DC22),Female,60+,2020-10-31,57580.504350999996
KZN - uMgungundlovu District Municipality (DC22),Male,0-4,2020-10-31,59579.36066
KZN - uMgungundlovu District Municipality (DC22),Male,10-14,2020-10-31,50007.08992
KZN - uMgungundlovu District Municipality (DC22),Male,15-19,2020-10-31,45607.62576
KZN - uMgungundlovu District Municipality (DC22),Male,18-34,2020-10-31,156907.34131
KZN - uMgungundlovu District Municipality (DC22),Male,35-49,2020-10-31,107257.19066
KZN - uMgungundlovu District Municipality (DC22),Male,5-9,2020-10-31,55625.81814
KZN - uMgungundlovu District Municipality (DC22),Male,50-59,2020-10-31,33764.11954
KZN - uMgungundlovu District Municipality (DC22),Male,60+,2020-10-31,28160.9249265
KZN - uMkhanyakude District Municipality (DC27),Female,0-4,2020-10-31,44644.05094
KZN - uMkhanyakude District Municipality (DC27),Female,10-14,2020-10-31,44083.03097
KZN - uMkhanyakude District Municipality (DC27),Female,15-19,2020-10-31,36910.58871
KZN - uMkhanyakude District Municipality (DC27),Female,18-34,2020-10-31,93664.6297
KZN - uMkhanyakude District Municipality (DC27),Female,35-49,2020-10-31,58072.91185
KZN - uMkhanyakude District Municipality (DC27),Female,5-9,2020-10-31,44829.53466
KZN - uMkhanyakude District Municipality (DC27),Female,50-59,2020-10-31,24459.35915
KZN - uMkhanyakude District Municipality (DC27),Female,60+,2020-10-31,30543.655404
KZN - uMkhanyakude District Municipality (DC27),Male,0-4,2020-10-31,45127.02511
KZN - uMkhanyakude District Municipality (DC27),Male,10-14,2020-10-31,42421.73993
KZN - uMkhanyakude District Municipality (DC27),Male,15-19,2020-10-31,34490.65422
KZN - uMkhanyakude District Municipality (DC27),Male,18-34,2020-10-31,78351.37045
KZN - uMkhanyakude District Municipality (DC27),Male,35-49,2020-10-31,38771.063439000005
KZN - uMkhanyakude District Municipality (DC27),Male,5-9,2020-10-31,44392.05089
KZN - uMkhanyakude District Municipality (DC27),Male,50-59,2020-10-31,11612.19266
KZN - uMkhanyakude District Municipality (DC27),Male,60+,2020-10-31,13408.341942
KZN - uMzinyathi District Municipality (DC24),Female,0-4,2020-10-31,36061.66837
KZN - uMzinyathi District Municipality (DC24),Female,10-14,2020-10-31,35541.39848
KZN - uMzinyathi District Municipality (DC24),Female,15-19,2020-10-31,29840.75634
KZN - uMzinyathi District Municipality (DC24),Female,18-34,2020-10-31,80442.84189000001
KZN - uMzinyathi District Municipality (DC24),Female,35-49,2020-10-31,44667.25571
KZN - uMzinyathi District Municipality (DC24),Female,5-9,2020-10-31,35646.76426
KZN - uMzinyathi District Municipality (DC24),Female,50-59,2020-10-31,19062.894025
KZN - uMzinyathi District Municipality (DC24),Female,60+,2020-10-31,27092.310062
KZN - uMzinyathi District Municipality (DC24),Male,0-4,2020-10-31,37457.76566
KZN - uMzinyathi District Municipality (DC24),Male,10-14,2020-10-31,35865.51281
KZN - uMzinyathi District Municipality (DC24),Male,15-19,2020-10-31,29248.80883
KZN - uMzinyathi District Municipality (DC24),Male,18-34,2020-10-31,66888.7614
KZN - uMzinyathi District Municipality (DC24),Male,35-49,2020-10-31,29143.764557
KZN - uMzinyathi District Municipality (DC24),Male,5-9,2020-10-31,36757.77208
KZN - uMzinyathi District Municipality (DC24),Male,50-59,2020-10-31,7871.485021
KZN - uMzinyathi District Municipality (DC24),Male,60+,2020-10-31,9041.5818889
KZN - uThukela District Municipality (DC23),Female,0-4,2020-10-31,41211.85113
KZN - uThukela District Municipality (DC23),Female,10-14,2020-10-31,40746.29147
KZN - uThukela District Municipality (DC23),Female,15-19,2020-10-31,34059.70468
KZN - uThukela District Municipality (DC23),Female,18-34,2020-10-31,86458.67082
KZN - uThukela District Municipality (DC23),Female,35-49,2020-10-31,59141.78964
KZN - uThukela District Municipality (DC23),Female,5-9,2020-10-31,42569.68589
KZN - uThukela District Municipality (DC23),Female,50-59,2020-10-31,27666.42265
KZN - uThukela District Municipality (DC23),Female,60+,2020-10-31,38246.998877
KZN - uThukela District Municipality (DC23),Male,0-4,2020-10-31,42787.15994
KZN - uThukela District Municipality (DC23),Male,10-14,2020-10-31,42064.61992
KZN - uThukela District Municipality (DC23),Male,15-19,2020-10-31,35306.75232
KZN - uThukela District Municipality (DC23),Male,18-34,2020-10-31,85259.74903
KZN - uThukela District Municipality (DC23),Male,35-49,2020-10-31,48752.208979999996
KZN - uThukela District Municipality (DC23),Male,5-9,2020-10-31,44039.37855
KZN - uThukela District Municipality (DC23),Male,50-59,2020-10-31,15524.945482000001
KZN - uThukela District Municipality (DC23),Male,60+,2020-10-31,16401.000812
LIM - Capricorn District Municipality (DC35),Female,0-4,2020-10-31,74419.1495
LIM - Capricorn District Municipality (DC35),Female,10-14,2020-10-31,74909.73965
LIM - Capricorn District Municipality (DC35),Female,15-19,2020-10-31,61726.06578
LIM - Capricorn District Municipality (DC35),Female,18-34,2020-10-31,141422.3181
LIM - Capricorn District Municipality (DC35),Female,35-49,2020-10-31,120922.07417
LIM - Capricorn District Municipality (DC35),Female,5-9,2020-10-31,75144.72784
LIM - Capricorn District Municipality (DC35),Female,50-59,2020-10-31,59939.06098
LIM - Capricorn District Municipality (DC35),Female,60+,2020-10-31,92958.82445
LIM - Capricorn District Municipality (DC35),Male,0-4,2020-10-31,76832.25609
LIM - Capricorn District Municipality (DC35),Male,10-14,2020-10-31,78006.85709
LIM - Capricorn District Municipality (DC35),Male,15-19,2020-10-31,65115.97671
LIM - Capricorn District Municipality (DC35),Male,18-34,2020-10-31,143166.20034
LIM - Capricorn District Municipality (DC35),Male,35-49,2020-10-31,99700.94122000001
LIM - Capricorn District Municipality (DC35),Male,5-9,2020-10-31,77602.66404
LIM - Capricorn District Municipality (DC35),Male,50-59,2020-10-31,37707.78938
LIM - Capricorn District Municipality (DC35),Male,60+,2020-10-31,45336.200580000004
LIM - Mopani District Municipality (DC33),Female,0-4,2020-10-31,64312.93581
LIM - Mopani District Municipality (DC33),Female,10-14,2020-10-31,70204.49246
LIM - Mopani District Municipality (DC33),Female,15-19,2020-10-31,53684.98614
LIM - Mopani District Municipality (DC33),Female,18-34,2020-10-31,138031.29265000002
LIM - Mopani District Municipality (DC33),Female,35-49,2020-10-31,115211.1815
LIM - Mopani District Municipality (DC33),Female,5-9,2020-10-31,67882.60033
LIM - Mopani District Municipality (DC33),Female,50-59,2020-10-31,55574.80136
LIM - Mopani District Municipality (DC33),Female,60+,2020-10-31,70001.620694
LIM - Mopani District Municipality (DC33),Male,0-4,2020-10-31,66647.48334
LIM - Mopani District Municipality (DC33),Male,10-14,2020-10-31,73134.00286
LIM - Mopani District Municipality (DC33),Male,15-19,2020-10-31,56980.46504
LIM - Mopani District Municipality (DC33),Male,18-34,2020-10-31,134245.50729
LIM - Mopani District Municipality (DC33),Male,35-49,2020-10-31,94680.23788
LIM - Mopani District Municipality (DC33),Male,5-9,2020-10-31,69902.51883
LIM - Mopani District Municipality (DC33),Male,50-59,2020-10-31,33489.93009
LIM - Mopani District Municipality (DC33),Male,60+,2020-10-31,34178.39096
